review_id,rating,review
Ci9DQUlRQUNvZENodHljRjlvT2psWVpYTjBXV3RJUTFveVdXNHRPSEZKU0UxUlFYYxAB,5,Nasywa
Ci9DQUlRQUNvZENodHljRjlvT21WNlgzaHFhMlZtU0dORlpVUTVObTVRT1UxNVJVRRAB,5,"Hotel bersih dan pelayanan memuaskanJenis perjalananLiburanGrup perjalananTunggalKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Pemandangan yang indah, Tenang, Cocok untuk anak-anak, Harga terbaik"
ChdDSUhNMG9nS0VJQ0FnSUNIaHV5RW9nRRAB,5,"Untuk kamar bersih dan nyaman, lunchnya juga enak dan seluruh staff ramahJenis perjalananLiburanGrup perjalananTunggalKamar: 5Layanan: 5Lokasi: 5KamarnyamanSorotan hotelMewah"
Ci9DQUlRQUNvZENodHljRjlvT2tSc1RETjBTRFZxZURKRGMycEVXWEJsUjBZeU5GRRAB,5,Pelayananyg baik dari ichaJenis perjalananBisnisKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2sxTVEzbEhiRXhCYjJkWFQzbGhVakE1YkU5Nk4yYxAB,5,"bollroomnya luas
resroom bersih bagyaKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Pemandangan yang indah"
Ci9DQUlRQUNvZENodHljRjlvT205SlZuZEhXRE5YU1RWc1MyVmxXbXc1TkZVMlFuYxAB,5,"Borumnya luas,
BagyaJenis perjalananBisnisKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT21kV1kxQlRTRWRSYVhReU5tUjFOMVpXWDFjMFZFRRAB,5,AsaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT21VNFlUVm1Rak5PTjFwS1RVOUtlSE5yUjNWSE1GRRAB,5,Pelayanan baik dari Asa.Jenis perjalananBisnisKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2pacExVdExWR3d5V20xa05IaExka0ZIYVRGbE9VRRAB,5,"Tempat yang memuaskan, pelayanan Oke
@ica, @AsaJenis perjalananBisnisGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 5KamarBersih dan rapiKeamananBaikArea untuk berjalan kakiMantapMakanan & minumanMemuaskanDetail pentingTempat enak dan nyamanSorotan hotelMewah, Pemandangan yang indah"
Ci9DQUlRQUNvZENodHljRjlvT2tJNWMxZzJRVmhEYzJwTloyTnVaazUxUkVSMmJVRRAB,5,Pelayan nya okee bangett dari kak asa dan adel👍🏻👍🏻Kamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2tFMFdsVllVbXgzVkdoaVVYWm5VME14VEdSRWRIYxAB,5,pelayanan mba asa dan adel sangat membantuKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT21oVE4xZE9WakEzUTNCVk5UaEJWVVJrYzBOVU5sRRAB,5,"Makanan enak, ChelsiKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT21jd01FSllPR0pwY1hGU1dqRTJSREpRWkZaTU0xRRAB,5,Good untuk pelayanan terlebih staff an. Adel dan AsaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2w5eVZ6RlZlR0kxVlRSZlRXZzRla0ZZTmxCemRVRRAB,5,Ica trimakasih ya mbk...atas pelayanan yg memuaskan..🙏😘😘Kamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2tSNmNESlNjbVJuVjJoR1ZsRkVWRVJIVDA4NFduYxAB,5,"Pertahankan dan tingkatkan
Semua luar biasa pelayanan mba Adel & AsaJenis perjalananBisnisKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2xreU9HWjFTMkYyZG1SQ1MzRjRUMk5GWjNwWmRFRRAB,5,BekerjaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT25OTlRsOVJkV3MzZFVzeFFXUkdjbk5ZWWpsVE5GRRAB,5,Adel pelayanam baikKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT25vd1FUbDVjVXg1VTFCclgybFpkMjVmTUVKWlluYxAB,5,AsaJenis perjalananLiburanGrup perjalananKeluargaKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2t4TFh6SkhVa1F3V0daVmVIUkJWMEZvTTBsb1psRRAB,5,Tempat nyaman makanan ok pelayanan dari kak Adel juga okKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT21FNFJHODVURlZ2WVMxMFFsWXlYelZOWnpGTU5WRRAB,5,pengalamannya memuaskan ( adel )Kamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT21GelVFNU5ObmRoUWtGZmQwNVRNVkpNU0RGWFYxRRAB,5,Sangat baik pelayanannya dari mbk adelKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2xaeVJUZFhiMUJrV0cxU1ZWaEVhWEJyVWxKTE4wRRAB,5,"Chelsi

Makannya Oke, mantabKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2sxaWVETTRhMGRtVG01Wk9UbEVTM0l5VWs1RU9FRRAB,5,Pelayanan dari Adel dan makanan nya baik dan enak.Kamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2paNFgxOTVPQzFPUzJVMWVUQnljakJZYTJJMVowRRAB,5,bagusJenis perjalananBisnisGrup perjalananPasanganKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah
Ci9DQUlRQUNvZENodHljRjlvT25CNmJETnRTMlJ3WVZWSWFIZzRlbGhMUVRRNWFIYxAB,5,hotel nya nyaman dan pelayan terbaik (asa)Kamar: 5Layanan: 5Lokasi: 5
